Dpto_SECOP;Dpto_DANE;Region_DANE
Amazonas;Amazonas;Orinoquía-Amazonía
Antioquia;Antioquia;Antioquia
Arauca;Arauca;Orinoquía-Amazonía
Atlántico;Atlántico;Caribe
Bogotá D.C.;Bogotá D.C.;Bogotá
Bolívar;Bolívar;Caribe
Boyacá;Boyacá;Oriental
Caldas;Caldas;Central
Caquetá;Caquetá;Central
Casanare;Casanare;Orinoquía-Amazonía
Cauca;Cauca;Pacífica (sin Valle del Cauca)
Cesar;Cesar;Caribe
Chocó;Chocó;Pacífica (sin Valle del Cauca)
Córdoba;Córdoba;Caribe
Cundinamarca;Cundinamarca;Oriental
Guainía;Guainía;Orinoquía-Amazonía
Guaviare;Guaviare;Orinoquía-Amazonía
Huila;Huila;Central
La Guajira;La Guajira;Caribe
Magdalena;Magdalena;Caribe
Meta;Meta;Oriental
Nariño;Nariño;Pacífica (sin Valle del Cauca)
Norte De Santander;Norte de Santander;Oriental
Putumayo;Putumayo;Orinoquía-Amazonía
Quindío;Quindío;Central
Risaralda;Risaralda;Central
San Andrés, Providencia y Santa Catalina;San Andrés;San Andrés
Santander;Santander;Oriental
Sucre;Sucre;Caribe
Tolima;Tolima;Central
Valle del Cauca;Valle del Cauca;Valle del Cauca
Vaupés;Vaupés;Orinoquía-Amazonía
Vichada;Vichada;Orinoquía-Amazonía
Colombia;Colombia;Colombia
No Definido;No Definido;No Definido
